State,District,Crop,Season,SowingMonth,Area(ha),N(kg/ha),P(kg/ha),K(kg/ha),SoilType,AnnualRainfall(mm),AvgTemperature(C),Yield(t/ha)
Andhra Pradesh,Guntur,Rice,Rabi,March,9.42,111,86,25,Clay,927,23.4,28.84
Punjab,Patiala,Wheat,Annual,December,8.89,192,98,90,Loamy,1195,22.1,42.98
Tamil Nadu,Thanjavur,Rice,Kharif,March,3.05,163,32,66,Red,1167,25.4,38.19
Tamil Nadu,Madurai,Corn,Rabi,June,5.92,112,37,80,Loamy,747,21.8,23.96
West Bengal,Howrah,Cotton,Annual,October,7.34,50,74,62,Sandy,743,27.2,25.54
Tamil Nadu,Madurai,Sugarcane,Zaid,November,6.86,143,82,88,Clay,415,28.3,324.6
West Bengal,Kolkata,Rice,Zaid,June,3.73,133,72,40,Clay,446,28.4,29.95
Andhra Pradesh,Kurnool,Rice,Annual,March,1.44,200,50,31,Clay,428,25.5,29.77
Karnataka,Mysore,Sugarcane,Annual,March,4.5,86,84,81,Sandy,1008,25.4,325.75
Karnataka,Mandya,Rice,Zaid,June,4.42,120,99,33,Sandy,429,28.2,24.71
Maharashtra,Pune,Sugarcane,Zaid,June,6.88,64,54,56,Sandy,892,27.1,258.58
Maharashtra,Pune,Rice,Rabi,July,7.4,200,43,34,Red,554,25.2,36.42
Uttar Pradesh,Lucknow,Sugarcane,Kharif,March,2.74,87,86,80,Red,404,32.2,268.64
Punjab,Ludhiana,Sugarcane,Zaid,July,3.13,113,42,42,Sandy,834,26.7,302.2
West Bengal,Kolkata,Corn,Kharif,August,3.43,157,96,24,Clay,550,21.3,32.2
Uttar Pradesh,Lucknow,Rice,Annual,January,8.63,63,75,21,Loamy,1154,31.6,23.27
Karnataka,Mandya,Corn,Annual,November,6.18,70,99,92,Sandy,499,29.7,31.57
Uttar Pradesh,Lucknow,Wheat,Zaid,June,8.33,126,43,83,Clay,435,31.3,26.74
West Bengal,Kolkata,Wheat,Kharif,June,8.72,113,57,31,Clay,569,33.5,22.58
Tamil Nadu,Salem,Wheat,Rabi,January,1.09,162,68,92,Clay,812,23.4,43.45
Maharashtra,Pune,Cotton,Kharif,March,6.53,197,56,100,Black,445,24.3,42.72
Andhra Pradesh,Kurnool,Wheat,Rabi,May,7.45,155,98,24,Clay,1113,21.5,38.27
Karnataka,Mandya,Wheat,Annual,November,8.64,78,39,20,Clay,1030,30.1,27.29
Maharashtra,Pune,Tomato,Annual,August,1.09,86,97,97,Loamy,1135,29.9,195.11
Uttar Pradesh,Kanpur,Tomato,Kharif,May,7.05,132,72,85,Sandy,429,23.4,184.48
Tamil Nadu,Salem,Tomato,Annual,February,3.87,106,86,67,Sandy,942,25.8,169.31
Maharashtra,Nagpur,Rice,Kharif,September,2.69,185,63,91,Clay,766,31.4,40.36
Andhra Pradesh,Guntur,Rice,Zaid,June,3.73,164,58,83,Sandy,539,34.8,37.25
Karnataka,Mandya,Sugarcane,Kharif,May,4.5,50,71,98,Black,962,33.9,335.55
West Bengal,Howrah,Corn,Rabi,March,3.15,173,91,89,Black,973,32.0,39.34
Punjab,Amritsar,Tomato,Annual,January,1.4,71,86,26,Loamy,1007,24.8,147.96
Punjab,Ludhiana,Tomato,Annual,September,7.83,73,82,83,Black,558,20.3,165.16
Punjab,Amritsar,Wheat,Zaid,August,1.28,118,71,63,Black,609,20.2,31.88
Tamil Nadu,Thanjavur,Wheat,Kharif,August,2.87,134,86,93,Black,516,29.3,31.39
Punjab,Amritsar,Wheat,Zaid,March,9.54,115,41,88,Red,924,28.5,37.41
Tamil Nadu,Madurai,Cotton,Kharif,July,8.67,177,89,82,Black,739,31.8,39.83
Karnataka,Belgaum,Wheat,Rabi,November,4.39,147,55,77,Black,1017,30.9,41.57
Uttar Pradesh,Kanpur,Sugarcane,Zaid,December,9.98,118,66,61,Loamy,466,33.3,283.72
Uttar Pradesh,Varanasi,Wheat,Zaid,April,8.78,127,68,26,Black,863,20.8,35.39
Karnataka,Belgaum,Cotton,Zaid,October,9.98,116,94,27,Red,759,20.4,37.28
Andhra Pradesh,Nellore,Rice,Kharif,May,8.23,162,41,94,Loamy,1055,32.3,37.03
Andhra Pradesh,Nellore,Sugarcane,Zaid,May,8.89,142,99,72,Sandy,806,27.5,369.4
Tamil Nadu,Salem,Sugarcane,Zaid,August,6.7,94,39,70,Red,1025,22.4,306.6
Andhra Pradesh,Kurnool,Cotton,Annual,February,7.51,87,77,25,Clay,930,34.1,28.1
West Bengal,Howrah,Wheat,Rabi,December,5.82,124,31,88,Loamy,1187,24.9,31.0
Maharashtra,Pune,Corn,Zaid,August,2.16,158,67,78,Sandy,432,34.1,32.77
Uttar Pradesh,Lucknow,Sugarcane,Rabi,May,2.51,76,40,39,Loamy,436,28.0,152.93
Punjab,Amritsar,Corn,Rabi,October,7.67,156,70,70,Black,675,26.4,33.66
Uttar Pradesh,Varanasi,Tomato,Zaid,December,9.39,186,89,78,Loamy,989,20.9,274.6
Maharashtra,Nagpur,Corn,Rabi,October,9.12,169,91,72,Loamy,562,29.0,44.98
West Bengal,Kolkata,Sugarcane,Annual,October,5.62,161,91,51,Black,1019,23.7,322.62
West Bengal,Darjeeling,Cotton,Zaid,July,6.41,148,40,25,Black,872,25.4,25.51
Andhra Pradesh,Guntur,Rice,Annual,January,3.51,65,76,48,Black,736,26.2,26.5
Tamil Nadu,Salem,Rice,Rabi,September,7.13,185,100,32,Red,417,26.0,42.14
Andhra Pradesh,Nellore,Sugarcane,Kharif,May,6.89,124,34,88,Clay,1188,22.3,392.09
Tamil Nadu,Madurai,Corn,Zaid,April,7.6,92,53,54,Sandy,554,27.9,23.9
Karnataka,Mandya,Corn,Rabi,December,1.16,55,49,42,Loamy,1100,24.5,18.12
Uttar Pradesh,Lucknow,Wheat,Annual,March,7.35,88,95,57,Clay,484,28.0,35.56
Tamil Nadu,Salem,Cotton,Kharif,November,9.88,77,90,73,Red,545,27.7,32.67
Uttar Pradesh,Varanasi,Cotton,Annual,February,4.88,148,34,21,Sandy,593,26.9,28.0
Andhra Pradesh,Nellore,Wheat,Kharif,October,8.98,181,91,89,Clay,503,20.4,47.62
Karnataka,Mandya,Sugarcane,Rabi,January,9.23,144,53,23,Black,1138,26.2,357.15
Andhra Pradesh,Kurnool,Tomato,Kharif,June,9.95,198,68,89,Sandy,902,27.7,269.23
Andhra Pradesh,Nellore,Corn,Annual,December,9.52,138,97,66,Red,641,26.6,42.36
Uttar Pradesh,Lucknow,Wheat,Rabi,April,5.15,92,86,42,Clay,418,24.7,29.43
Punjab,Ludhiana,Corn,Kharif,June,4.66,94,32,66,Sandy,568,24.3,29.17
West Bengal,Howrah,Sugarcane,Rabi,August,1.07,120,31,57,Sandy,885,31.4,273.79
West Bengal,Kolkata,Corn,Rabi,February,1.04,92,37,90,Sandy,1004,22.6,23.55
Punjab,Amritsar,Corn,Rabi,June,9.69,106,84,77,Loamy,1116,20.5,34.7
Karnataka,Mysore,Tomato,Annual,July,3.3,144,46,51,Clay,670,24.7,186.78
Andhra Pradesh,Kurnool,Sugarcane,Rabi,May,9.38,156,32,24,Red,1129,23.8,334.27
Karnataka,Mandya,Rice,Rabi,January,5.16,134,74,82,Red,1172,34.4,30.05
Punjab,Ludhiana,Corn,Annual,December,3.29,179,85,21,Clay,1160,20.4,33.25
Andhra Pradesh,Kurnool,Corn,Annual,November,2.38,165,50,92,Clay,958,26.5,40.77
Andhra Pradesh,Kurnool,Wheat,Kharif,March,8.56,149,66,98,Black,1119,25.5,46.79
West Bengal,Kolkata,Wheat,Annual,March,4.33,136,33,32,Black,625,30.8,22.52
Maharashtra,Nagpur,Corn,Zaid,October,9.3,94,73,70,Clay,968,25.2,34.22
Tamil Nadu,Madurai,Sugarcane,Rabi,June,2.95,121,49,71,Sandy,831,26.6,269.77
Punjab,Amritsar,Tomato,Rabi,August,9.52,200,96,83,Black,998,34.2,245.85
Maharashtra,Pune,Sugarcane,Annual,July,8.86,72,54,95,Red,633,27.3,281.46
Andhra Pradesh,Guntur,Cotton,Zaid,December,6.03,102,30,97,Black,682,21.5,26.0
Uttar Pradesh,Varanasi,Sugarcane,Kharif,July,3.06,190,68,47,Red,1031,27.7,381.53
Uttar Pradesh,Varanasi,Corn,Annual,September,2.38,166,46,80,Clay,832,23.3,32.57
Maharashtra,Nagpur,Rice,Zaid,April,1.83,194,94,56,Loamy,874,32.3,43.26
Maharashtra,Pune,Sugarcane,Zaid,April,9.3,137,80,28,Loamy,748,28.4,320.58
Karnataka,Belgaum,Corn,Rabi,December,9.95,172,64,92,Clay,1114,23.9,37.15
Uttar Pradesh,Kanpur,Corn,Zaid,November,6.98,107,62,20,Clay,633,26.6,28.21
Andhra Pradesh,Guntur,Tomato,Kharif,July,3.4,68,45,72,Sandy,761,29.5,144.25
Maharashtra,Pune,Tomato,Annual,January,5.5,179,46,29,Clay,583,30.3,212.92
Karnataka,Belgaum,Corn,Zaid,March,7.86,129,64,64,Black,1164,34.4,33.93
Punjab,Patiala,Cotton,Annual,February,5.87,181,74,61,Black,424,31.9,41.7
West Bengal,Darjeeling,Sugarcane,Rabi,April,2.64,115,69,54,Black,1040,34.2,249.18
Punjab,Patiala,Wheat,Rabi,February,7.5,178,73,56,Loamy,636,29.5,44.23
Tamil Nadu,Madurai,Tomato,Rabi,September,7.97,63,75,52,Loamy,782,33.1,189.73
Andhra Pradesh,Guntur,Corn,Kharif,March,5.68,101,34,88,Sandy,637,32.7,27.86
Uttar Pradesh,Lucknow,Rice,Zaid,June,8.96,195,99,58,Loamy,1022,22.5,42.67
Tamil Nadu,Salem,Wheat,Kharif,September,2.08,77,54,31,Clay,1104,20.7,22.24
West Bengal,Kolkata,Corn,Kharif,October,4.21,135,42,97,Loamy,412,34.4,31.78
West Bengal,Howrah,Corn,Rabi,August,2.66,59,57,59,Sandy,1078,26.0,22.33
Punjab,Patiala,Corn,Zaid,August,2.12,91,72,78,Clay,465,26.1,26.24
Maharashtra,Pune,Sugarcane,Rabi,February,9.46,165,90,70,Loamy,1036,22.1,392.62
Uttar Pradesh,Lucknow,Sugarcane,Rabi,April,5.54,108,61,42,Loamy,717,31.9,234.5
Tamil Nadu,Thanjavur,Tomato,Zaid,October,9.99,161,74,99,Black,1092,29.8,253.48
Tamil Nadu,Salem,Corn,Kharif,November,9.44,58,60,60,Red,909,26.8,22.66
Andhra Pradesh,Kurnool,Sugarcane,Rabi,March,1.7,143,79,34,Loamy,1142,20.1,380.54
Punjab,Ludhiana,Cotton,Kharif,February,3.75,105,89,79,Loamy,402,24.2,33.28
West Bengal,Kolkata,Corn,Zaid,December,8.67,147,63,49,Sandy,1041,21.8,36.13
Uttar Pradesh,Varanasi,Wheat,Annual,February,4.35,87,38,93,Red,656,23.5,30.33
West Bengal,Howrah,Cotton,Zaid,July,2.22,195,62,29,Loamy,735,33.6,30.94
Tamil Nadu,Thanjavur,Wheat,Kharif,June,6.95,97,66,74,Black,893,28.1,27.93
Punjab,Patiala,Sugarcane,Annual,May,4.94,127,40,61,Sandy,576,22.3,253.31
Karnataka,Mysore,Tomato,Kharif,December,5.12,80,73,35,Clay,972,25.2,168.35
Uttar Pradesh,Lucknow,Sugarcane,Rabi,April,6.58,135,72,98,Clay,1080,23.6,391.62
Karnataka,Mandya,Rice,Annual,July,1.3,78,68,68,Loamy,1068,29.2,30.45
West Bengal,Howrah,Sugarcane,Zaid,July,8.41,143,52,79,Loamy,1192,31.7,411.16
West Bengal,Howrah,Corn,Kharif,October,9.81,135,88,98,Sandy,747,26.8,39.21
West Bengal,Howrah,Cotton,Annual,October,1.55,175,32,71,Red,871,33.1,29.41
Uttar Pradesh,Lucknow,Tomato,Kharif,July,2.82,135,32,58,Loamy,956,20.8,161.92
West Bengal,Howrah,Cotton,Annual,October,8.92,190,84,35,Red,943,28.2,39.26
Punjab,Amritsar,Rice,Rabi,August,2.09,145,38,87,Sandy,1099,27.7,27.46
Tamil Nadu,Thanjavur,Rice,Zaid,May,3.31,139,51,99,Clay,1117,23.9,36.05
Tamil Nadu,Madurai,Wheat,Rabi,December,5.39,187,64,91,Black,1042,22.6,44.97
Punjab,Amritsar,Wheat,Annual,May,1.98,85,77,42,Black,720,27.6,24.36
Maharashtra,Nashik,Rice,Kharif,March,7.79,116,93,24,Red,1191,26.9,36.95
Punjab,Amritsar,Corn,Zaid,July,1.5,124,63,38,Red,628,33.3,30.62
Punjab,Amritsar,Sugarcane,Rabi,March,2.11,178,80,52,Clay,895,33.2,408.16
Maharashtra,Nashik,Corn,Annual,August,3.92,85,38,89,Red,686,34.6,28.04
Karnataka,Mandya,Wheat,Rabi,June,9.28,61,57,50,Red,998,25.3,24.82
Tamil Nadu,Salem,Cotton,Rabi,October,2.03,139,48,88,Red,571,23.1,29.28
Tamil Nadu,Thanjavur,Corn,Annual,August,9.13,69,40,54,Clay,474,26.7,22.93
Andhra Pradesh,Kurnool,Cotton,Rabi,October,1.53,158,48,77,Loamy,609,21.2,30.2
Andhra Pradesh,Nellore,Corn,Rabi,April,2.33,172,64,65,Red,1012,21.4,40.25
West Bengal,Kolkata,Sugarcane,Kharif,August,7.44,91,51,47,Red,1133,33.6,303.99
Tamil Nadu,Salem,Wheat,Kharif,October,1.69,116,72,81,Sandy,892,21.6,36.79
Uttar Pradesh,Kanpur,Wheat,Rabi,March,1.25,68,74,62,Sandy,950,25.8,27.0
Punjab,Ludhiana,Wheat,Rabi,August,9.73,148,77,86,Black,669,27.5,36.69
Tamil Nadu,Salem,Corn,Kharif,February,4.01,78,90,97,Red,1020,29.2,40.1
Maharashtra,Pune,Corn,Rabi,March,8.64,101,51,30,Black,851,28.1,28.3
Tamil Nadu,Salem,Cotton,Zaid,October,5.13,158,42,62,Clay,866,30.6,32.45
Tamil Nadu,Thanjavur,Sugarcane,Rabi,May,4.21,80,71,54,Loamy,608,20.6,296.27
Punjab,Patiala,Tomato,Kharif,August,3.66,176,49,41,Sandy,1005,20.2,191.51
Karnataka,Belgaum,Rice,Kharif,November,8.43,131,96,57,Red,658,25.2,39.25
Uttar Pradesh,Kanpur,Tomato,Kharif,July,9.91,173,50,96,Clay,709,33.5,260.15
West Bengal,Howrah,Cotton,Zaid,July,7.39,171,85,74,Clay,899,31.1,41.6
Punjab,Ludhiana,Corn,Annual,July,3.38,168,93,27,Red,975,25.3,29.21
Tamil Nadu,Madurai,Wheat,Kharif,May,8.86,130,66,76,Sandy,640,31.8,33.37
Uttar Pradesh,Varanasi,Wheat,Kharif,February,6.92,91,72,25,Clay,962,22.8,26.69
Maharashtra,Nashik,Tomato,Kharif,July,9.5,134,37,95,Sandy,710,21.2,232.75
Tamil Nadu,Salem,Rice,Rabi,April,8.59,107,88,23,Clay,475,20.9,28.63
West Bengal,Howrah,Sugarcane,Zaid,October,7.86,119,54,63,Red,794,24.3,348.45
Andhra Pradesh,Nellore,Corn,Zaid,September,1.94,94,92,48,Clay,863,28.7,24.9
Andhra Pradesh,Nellore,Cotton,Rabi,April,6.06,51,36,95,Loamy,838,28.4,23.88
Andhra Pradesh,Guntur,Cotton,Kharif,May,1.48,146,46,36,Red,1155,30.4,27.34
Karnataka,Belgaum,Corn,Annual,September,9.11,56,99,43,Loamy,558,24.0,25.03
Karnataka,Mandya,Sugarcane,Annual,September,8.27,185,92,89,Loamy,995,22.9,535.12
Maharashtra,Nashik,Corn,Rabi,January,1.87,75,64,38,Sandy,670,27.7,19.27
Andhra Pradesh,Nellore,Corn,Kharif,May,9.75,74,48,61,Black,1165,29.6,28.66
Punjab,Patiala,Wheat,Zaid,April,6.76,160,36,48,Black,806,33.1,36.12
Maharashtra,Pune,Sugarcane,Zaid,September,2.52,112,70,87,Clay,833,30.7,281.3
Tamil Nadu,Madurai,Corn,Rabi,February,6.43,95,89,46,Clay,658,25.0,34.47
Karnataka,Mandya,Sugarcane,Kharif,April,2.94,98,38,56,Black,599,32.6,226.54
Andhra Pradesh,Nellore,Rice,Annual,October,6.04,68,60,80,Clay,1078,26.0,32.28
Karnataka,Mandya,Corn,Zaid,September,7.09,164,36,82,Clay,730,21.1,31.34
Uttar Pradesh,Kanpur,Tomato,Kharif,January,8.56,179,73,65,Red,517,30.3,199.28
Uttar Pradesh,Varanasi,Wheat,Annual,March,1.79,141,35,99,Loamy,698,25.3,30.1
Karnataka,Mysore,Wheat,Rabi,December,5.46,173,79,100,Black,820,26.7,41.74
Uttar Pradesh,Varanasi,Corn,Kharif,February,2.44,113,96,34,Black,892,32.0,27.3
Tamil Nadu,Salem,Corn,Annual,July,1.06,183,84,27,Loamy,1015,21.7,38.28
Uttar Pradesh,Kanpur,Tomato,Kharif,March,3.65,146,64,34,Sandy,769,23.9,151.35
Karnataka,Mandya,Tomato,Kharif,February,4.87,171,37,91,Black,712,28.4,205.21
Punjab,Ludhiana,Sugarcane,Rabi,February,3.33,86,69,30,Loamy,747,23.0,245.25
Uttar Pradesh,Lucknow,Tomato,Zaid,March,9.03,76,66,81,Black,918,35.0,159.76
Uttar Pradesh,Lucknow,Wheat,Rabi,July,2.26,178,87,74,Loamy,856,21.8,39.75
Uttar Pradesh,Varanasi,Wheat,Zaid,January,5.5,154,46,76,Black,472,29.4,31.84
Tamil Nadu,Thanjavur,Tomato,Zaid,March,8.91,199,84,27,Black,1074,28.9,277.23
Maharashtra,Nagpur,Wheat,Rabi,December,1.04,189,37,27,Black,541,21.5,25.52
Maharashtra,Nashik,Wheat,Zaid,April,2.37,60,40,77,Red,1049,34.6,20.4
West Bengal,Howrah,Wheat,Rabi,August,6.01,153,72,88,Black,430,33.2,43.44
Andhra Pradesh,Nellore,Sugarcane,Kharif,March,2.1,130,50,48,Black,743,20.6,257.92
West Bengal,Howrah,Tomato,Zaid,December,1.42,64,96,24,Red,541,27.3,120.35
Maharashtra,Nashik,Corn,Rabi,January,8.3,63,54,92,Black,1146,24.0,28.58
Andhra Pradesh,Guntur,Rice,Zaid,October,9.79,80,70,95,Sandy,631,25.4,34.8
West Bengal,Kolkata,Cotton,Kharif,October,7.77,123,42,39,Black,1130,30.6,32.03
Maharashtra,Pune,Cotton,Kharif,May,7.77,76,70,27,Loamy,542,29.8,22.89
Uttar Pradesh,Lucknow,Wheat,Zaid,July,5.47,58,84,54,Clay,1062,26.4,26.63
Karnataka,Mandya,Sugarcane,Annual,April,7.21,192,45,35,Black,1130,32.2,424.98
Punjab,Patiala,Tomato,Rabi,February,7.96,76,52,67,Red,890,32.0,191.31
West Bengal,Darjeeling,Wheat,Kharif,January,6.5,190,91,65,Red,746,20.5,48.29
Maharashtra,Pune,Cotton,Rabi,April,4.59,133,35,70,Black,970,22.1,35.18
West Bengal,Kolkata,Corn,Kharif,April,1.27,83,88,100,Red,995,31.7,31.15
Uttar Pradesh,Kanpur,Tomato,Rabi,February,7.59,199,36,96,Sandy,840,25.1,210.01
Punjab,Ludhiana,Tomato,Zaid,May,4.65,80,98,100,Clay,546,30.1,202.66
Maharashtra,Pune,Corn,Zaid,March,2.68,60,68,41,Loamy,589,23.5,21.26
Maharashtra,Nashik,Wheat,Annual,May,3.69,165,80,43,Red,511,33.1,27.81
Punjab,Patiala,Wheat,Kharif,October,7.55,65,96,79,Loamy,698,33.9,29.99
Tamil Nadu,Salem,Tomato,Zaid,April,3.72,108,31,24,Red,619,25.8,128.4
West Bengal,Howrah,Corn,Annual,August,4.4,180,96,42,Red,1143,27.0,34.61
Tamil Nadu,Thanjavur,Tomato,Zaid,February,4.77,166,61,51,Red,957,26.7,204.71
Tamil Nadu,Madurai,Tomato,Kharif,January,8.81,194,36,96,Clay,997,32.1,233.97
Punjab,Patiala,Sugarcane,Zaid,September,1.97,95,80,28,Clay,712,28.9,256.38
Karnataka,Mandya,Wheat,Kharif,April,5.31,58,68,36,Loamy,405,29.7,17.02
Maharashtra,Pune,Wheat,Zaid,May,5.3,130,43,87,Clay,438,32.0,28.82
West Bengal,Howrah,Sugarcane,Annual,April,3.8,112,85,87,Clay,702,23.8,293.22
Uttar Pradesh,Varanasi,Tomato,Kharif,May,2.95,199,72,88,Black,824,23.2,251.4
Karnataka,Mandya,Wheat,Kharif,May,3.58,120,42,71,Loamy,403,27.3,31.34
Karnataka,Mandya,Tomato,Kharif,November,7.86,147,82,53,Red,591,25.1,214.44
West Bengal,Howrah,Sugarcane,Rabi,February,2.94,50,100,99,Black,691,34.7,341.82
Maharashtra,Nagpur,Corn,Rabi,June,4.82,136,62,34,Black,977,24.1,29.85
West Bengal,Darjeeling,Wheat,Zaid,January,8.11,103,45,68,Loamy,998,34.0,28.46
Punjab,Patiala,Corn,Zaid,September,1.21,195,59,46,Clay,693,21.9,35.19
Maharashtra,Nashik,Wheat,Kharif,February,1.39,113,73,35,Clay,1185,28.2,32.61
West Bengal,Kolkata,Cotton,Annual,June,2.96,162,61,33,Clay,1056,34.3,28.55
Tamil Nadu,Thanjavur,Corn,Zaid,January,6.45,73,72,60,Black,412,23.4,29.9
Tamil Nadu,Salem,Cotton,Zaid,September,1.13,165,97,44,Red,493,23.9,40.08
Maharashtra,Pune,Tomato,Annual,January,9.66,114,91,85,Black,1181,29.5,277.0
West Bengal,Kolkata,Cotton,Rabi,January,6.31,135,36,94,Sandy,496,29.7,37.15
Uttar Pradesh,Kanpur,Corn,Zaid,April,3.19,165,61,43,Red,670,26.9,33.5
Karnataka,Mysore,Sugarcane,Rabi,February,4.41,98,59,62,Black,458,26.0,310.69
Maharashtra,Pune,Cotton,Kharif,February,9.59,114,97,65,Sandy,797,33.2,39.6
Uttar Pradesh,Lucknow,Wheat,Zaid,May,7.1,171,64,27,Clay,974,28.8,35.98
West Bengal,Darjeeling,Corn,Kharif,December,4.43,187,53,50,Clay,529,24.7,28.83
Uttar Pradesh,Lucknow,Sugarcane,Zaid,January,5.71,93,37,90,Loamy,1026,33.2,344.0
Maharashtra,Nashik,Tomato,Annual,December,5.76,194,77,99,Sandy,659,24.5,292.71
West Bengal,Kolkata,Wheat,Annual,August,1.45,105,37,57,Black,1108,29.4,28.63
Tamil Nadu,Salem,Rice,Rabi,February,4.26,168,64,85,Red,789,21.6,32.43
Maharashtra,Nashik,Cotton,Rabi,May,7.62,193,86,61,Sandy,969,32.8,39.2
West Bengal,Howrah,Rice,Annual,June,1.55,145,95,68,Red,1088,23.8,36.07
West Bengal,Darjeeling,Corn,Annual,October,8.37,155,72,91,Sandy,884,28.2,37.72
Tamil Nadu,Madurai,Rice,Rabi,September,8.29,166,37,54,Sandy,486,21.0,26.81
Maharashtra,Nashik,Wheat,Kharif,August,5.64,157,99,38,Clay,769,25.2,38.84
Karnataka,Mysore,Rice,Annual,November,1.51,196,36,95,Loamy,663,28.6,38.54
Karnataka,Mysore,Rice,Zaid,December,7.57,72,82,24,Red,935,27.1,25.23
Maharashtra,Pune,Wheat,Rabi,November,3.24,187,49,97,Loamy,826,32.8,33.05
Maharashtra,Nagpur,Wheat,Annual,January,2.99,147,93,33,Sandy,967,33.9,31.13
West Bengal,Kolkata,Cotton,Zaid,March,9.45,136,68,87,Black,833,25.3,35.24
Tamil Nadu,Madurai,Corn,Zaid,November,1.63,131,90,59,Sandy,801,21.7,33.02
Maharashtra,Nashik,Rice,Rabi,June,7.62,183,32,71,Red,470,31.2,34.96
Uttar Pradesh,Lucknow,Cotton,Kharif,December,5.27,122,72,28,Sandy,501,32.7,31.04
Uttar Pradesh,Lucknow,Wheat,Zaid,March,4.2,191,96,90,Red,458,26.9,43.97
Punjab,Amritsar,Cotton,Annual,January,2.77,180,60,49,Loamy,755,26.4,39.46
West Bengal,Darjeeling,Tomato,Annual,October,4.43,189,71,68,Loamy,425,31.8,237.06
West Bengal,Kolkata,Sugarcane,Rabi,February,5.13,51,62,87,Red,1044,27.5,227.83
Karnataka,Belgaum,Sugarcane,Zaid,August,3.56,75,45,21,Black,1146,24.2,230.93
Uttar Pradesh,Kanpur,Rice,Kharif,June,3.49,199,97,64,Red,573,27.4,38.67
West Bengal,Howrah,Sugarcane,Zaid,September,6.67,143,59,34,Loamy,685,21.9,364.06
Andhra Pradesh,Nellore,Cotton,Annual,September,9.91,99,100,56,Sandy,1051,23.7,38.03
Andhra Pradesh,Guntur,Rice,Zaid,September,1.29,99,80,100,Clay,1128,28.6,29.62
Karnataka,Belgaum,Rice,Kharif,August,4.01,65,36,68,Loamy,1050,31.5,22.29
Uttar Pradesh,Varanasi,Wheat,Rabi,August,3.66,163,73,49,Sandy,879,24.8,29.43
Tamil Nadu,Salem,Tomato,Annual,November,2.49,70,83,50,Black,701,21.6,123.78
Maharashtra,Pune,Sugarcane,Rabi,December,7.96,131,58,43,Red,1100,21.2,303.78
Andhra Pradesh,Kurnool,Tomato,Rabi,October,3.75,83,50,75,Clay,453,26.5,138.49
Karnataka,Mandya,Rice,Rabi,May,1.67,196,100,35,Loamy,882,21.2,37.76
Andhra Pradesh,Nellore,Tomato,Rabi,July,1.59,193,58,81,Loamy,446,23.1,244.81
Karnataka,Belgaum,Rice,Kharif,June,4.55,86,95,85,Red,646,20.6,28.13
Andhra Pradesh,Guntur,Wheat,Annual,August,9.33,175,70,63,Black,1081,33.5,47.49
Punjab,Patiala,Cotton,Annual,March,5.95,54,33,95,Clay,755,30.4,29.16
Maharashtra,Nagpur,Corn,Rabi,July,2.89,99,99,52,Red,505,31.2,28.39
Uttar Pradesh,Lucknow,Corn,Kharif,February,2.47,75,95,53,Loamy,946,31.6,26.39
Tamil Nadu,Thanjavur,Rice,Zaid,July,5.28,159,70,81,Loamy,701,28.9,38.94
Uttar Pradesh,Varanasi,Cotton,Zaid,June,9.7,58,55,31,Sandy,895,28.4,27.04
Punjab,Ludhiana,Corn,Rabi,August,7.72,151,57,58,Loamy,542,24.8,38.31
Karnataka,Belgaum,Corn,Kharif,March,5.1,195,65,84,Loamy,751,32.6,48.29
Maharashtra,Nagpur,Sugarcane,Zaid,April,9.15,82,45,79,Loamy,813,30.3,292.72
Maharashtra,Pune,Sugarcane,Annual,November,3.13,51,47,58,Loamy,1163,31.3,212.28
Karnataka,Mandya,Tomato,Rabi,April,5.11,185,71,23,Sandy,610,24.6,169.51
West Bengal,Darjeeling,Wheat,Rabi,April,2.87,105,61,56,Loamy,855,31.6,31.65
Tamil Nadu,Thanjavur,Cotton,Kharif,October,5.57,158,88,25,Black,969,30.9,28.63
Maharashtra,Nashik,Corn,Zaid,March,2.08,70,48,36,Red,906,29.7,23.26
West Bengal,Howrah,Cotton,Rabi,April,2.62,137,62,48,Clay,903,34.4,35.51
Tamil Nadu,Thanjavur,Wheat,Rabi,March,1.19,171,36,61,Clay,408,31.3,29.66
West Bengal,Kolkata,Sugarcane,Annual,May,4.77,148,58,44,Red,645,31.4,319.28
Uttar Pradesh,Varanasi,Rice,Rabi,February,6.44,161,90,63,Loamy,651,23.3,44.24
West Bengal,Darjeeling,Rice,Annual,November,7.57,193,66,64,Black,522,32.0,44.14
Tamil Nadu,Salem,Corn,Annual,February,6.23,82,36,52,Red,1200,23.2,28.78
West Bengal,Howrah,Rice,Rabi,April,4.84,103,87,62,Loamy,1116,30.8,34.47
Tamil Nadu,Thanjavur,Sugarcane,Kharif,June,4.05,90,65,87,Clay,558,24.2,337.62
West Bengal,Darjeeling,Sugarcane,Annual,September,3.22,129,98,22,Black,906,24.7,356.21
Uttar Pradesh,Varanasi,Wheat,Zaid,September,6.63,166,93,54,Clay,1035,20.3,39.42
West Bengal,Darjeeling,Cotton,Kharif,March,1.31,106,34,27,Red,579,32.7,18.09
Punjab,Patiala,Tomato,Rabi,April,5.7,161,48,49,Loamy,909,20.8,213.76
Andhra Pradesh,Kurnool,Tomato,Kharif,June,8.34,137,43,64,Loamy,469,29.9,217.12
Punjab,Amritsar,Rice,Kharif,October,8.21,199,32,34,Loamy,1144,29.9,37.35
